iter	Passed	Remaining
0	144	43245
1	160	23869
2	175	17400
3	191	14172
4	208	12289
5	224	11005
6	239	10028
7	254	9296
8	269	8726
9	285	8271
10	299	7871
11	315	7562
12	329	7265
13	343	7011
14	357	6784
15	372	6613
16	386	6442
17	401	6292
18	416	6167
19	430	6031
20	445	5922
21	461	5827
22	476	5737
23	491	5651
24	505	5564
25	520	5488
26	536	5426
27	551	5362
28	566	5294
29	581	5229
30	595	5171
31	611	5119
32	626	5066
33	641	5018
34	657	4975
35	671	4922
36	686	4882
37	703	4848
38	719	4813
39	734	4773
40	750	4739
41	765	4702
42	781	4669
43	797	4639
44	812	4606
45	828	4575
46	842	4537
47	858	4505
48	872	4467
49	886	4433
50	900	4396
51	915	4364
52	928	4329
53	942	4295
54	957	4263
55	972	4239
56	986	4207
57	1001	4176
58	1016	4153
59	1030	4123
60	1047	4102
61	1062	4077
62	1076	4050
63	1093	4030
64	1106	4001
65	1121	3977
66	1136	3953
67	1153	3934
68	1167	3910
69	1182	3884
70	1196	3858
71	1211	3837
72	1227	3817
73	1241	3790
74	1255	3765
75	1269	3740
76	1283	3717
77	1296	3691
78	1311	3668
79	1325	3645
80	1340	3625
81	1365	3628
82	1387	3628
83	1403	3608
84	1417	3585
85	1431	3561
86	1447	3542
87	1464	3527
88	1478	3506
89	1492	3482
90	1505	3458
91	1519	3434
92	1532	3411
93	1547	3390
94	1561	3369
95	1575	3348
96	1590	3328
97	1604	3307
98	1619	3288
99	1634	3268
100	1647	3245
101	1661	3224
102	1676	3205
103	1690	3185
104	1704	3165
105	1719	3147
106	1733	3126
107	1747	3105
108	1762	3089
109	1776	3069
110	1791	3050
111	1804	3028
112	1817	3008
113	1832	2990
114	1847	2972
115	1861	2953
116	1877	2936
117	1892	2918
118	1907	2901
119	1921	2881
120	1935	2862
121	1949	2844
122	1963	2825
123	1977	2806
124	1992	2790
125	2008	2774
126	2022	2755
127	2037	2738
128	2051	2719
129	2065	2701
130	2079	2682
131	2092	2663
132	2106	2645
133	2121	2628
134	2136	2611
135	2151	2594
136	2165	2576
137	2179	2558
138	2193	2540
139	2206	2521
140	2220	2503
141	2233	2485
142	2247	2467
143	2263	2452
144	2278	2435
145	2292	2418
146	2305	2399
147	2319	2382
148	2333	2365
149	2347	2347
150	2361	2330
151	2376	2313
152	2391	2297
153	2406	2281
154	2421	2265
155	2434	2247
156	2449	2230
157	2463	2214
158	2478	2197
159	2492	2181
160	2507	2164
161	2522	2148
162	2538	2133
163	2554	2118
164	2569	2102
165	2585	2086
166	2600	2071
167	2613	2053
168	2628	2037
169	2641	2020
170	2656	2004
171	2671	1988
172	2685	1971
173	2700	1955
174	2714	1939
175	2730	1923
176	2745	1908
177	2760	1891
178	2774	1875
179	2789	1859
180	2803	1843
181	2818	1827
182	2832	1810
183	2846	1794
184	2860	1778
185	2875	1762
186	2890	1746
187	2904	1730
188	2918	1714
189	2934	1698
190	2948	1682
191	2961	1665
192	2975	1649
193	2990	1634
194	3005	1618
195	3020	1602
196	3035	1587
197	3049	1570
198	3062	1554
199	3077	1538
200	3091	1522
201	3105	1506
202	3119	1490
203	3134	1475
204	3149	1459
205	3165	1444
206	3180	1429
207	3194	1412
208	3208	1397
209	3223	1381
210	3236	1364
211	3250	1349
212	3264	1333
213	3278	1317
214	3292	1301
215	3306	1285
216	3322	1270
217	3340	1256
218	3355	1241
219	3371	1225
220	3386	1210
221	3401	1195
222	3417	1179
223	3431	1164
224	3446	1148
225	3464	1134
226	3478	1118
227	3493	1103
228	3507	1087
229	3523	1072
230	3539	1057
231	3554	1041
232	3569	1026
233	3585	1011
234	3601	996
235	3616	980
236	3631	965
237	3648	950
238	3665	935
239	3679	919
240	3694	904
241	3710	889
242	3727	874
243	3741	858
244	3757	843
245	3772	828
246	3788	812
247	3804	797
248	3819	782
249	3837	767
250	3851	751
251	3868	736
252	3882	721
253	3900	706
254	3915	691
255	3931	675
256	3946	660
257	3961	644
258	3976	629
259	3992	614
260	4009	599
261	4025	583
262	4038	568
263	4055	552
264	4071	537
265	4085	522
266	4101	506
267	4116	491
268	4130	476
269	4144	460
270	4159	445
271	4173	429
272	4186	414
273	4200	398
274	4215	383
275	4231	367
276	4245	352
277	4260	337
278	4274	321
279	4287	306
280	4303	290
281	4317	275
282	4332	260
283	4347	244
284	4362	229
285	4376	214
286	4391	198
287	4406	183
288	4421	168
289	4437	153
290	4452	137
291	4469	122
292	4483	107
293	4500	91
294	4513	76
295	4529	61
296	4545	45
297	4560	30
298	4575	15
299	4590	0
